Product_ID,Product_Position,Price,Competitors_Price,Promotion,Foot_Traffic,Consumer_Demographics,Product_Category,Seasonal,Sales_Volume,Price_Difference,Price_Ratio,Price_Range,Sales_Performance
185102,Aisle,17.07,16.16,No,Medium,Families,Clothing,No,2823,0.91,1.0563,Medium,High
188771,Aisle,17.41,13.13,No,Low,Seniors,Clothing,No,654,4.28,1.326,Medium,Low
180176,End-cap,43.16,38.37,Yes,Medium,Young adults,Electronics,Yes,2220,4.79,1.1248,High,High
112917,Aisle,42.26,38.98,Yes,Low,Families,Clothing,Yes,1568,3.28,1.0841,High,Medium
192936,End-cap,47.94,45.59,No,Medium,College students,Clothing,Yes,2942,2.35,1.0515,High,High
117590,End-cap,34.5,34.34,No,Medium,Seniors,Clothing,No,2968,0.16,1.0047,High,High
189118,Front of Store,41.11,40.15,Yes,High,College students,Clothing,Yes,952,0.96,1.0239,High,Low
182157,Aisle,15.75,12.3,No,Low,College students,Clothing,No,2421,3.45,1.2805,Medium,High
141861,Aisle,30.07,26.75,Yes,High,Families,Electronics,Yes,1916,3.32,1.1241,High,Medium
137121,Aisle,38.0,33.38,No,High,Families,Electronics,Yes,656,4.62,1.1384,High,Low
113143,Aisle,27.42,22.82,Yes,High,College students,Food,Yes,2663,4.6,1.2016,Medium,High
140028,Aisle,12.15,9.39,Yes,High,College students,Food,Yes,1260,2.76,1.2939,Low,Medium
134693,Aisle,31.45,28.93,Yes,Low,College students,Food,No,2124,2.52,1.0871,High,High
151396,Front of Store,19.81,17.04,Yes,Medium,Families,Food,Yes,729,2.77,1.1626,Medium,Low
132889,Aisle,15.74,12.8,Yes,Low,Families,Food,Yes,2265,2.94,1.2297,Medium,High
152174,End-cap,13.16,12.94,No,Medium,Young adults,Clothing,No,2226,0.22,1.017,Low,High
129906,Aisle,14.58,14.49,No,Medium,Young adults,Food,No,2089,0.09,1.0062,Low,High
195879,Front of Store,21.03,18.54,Yes,Medium,Young adults,Food,Yes,2339,2.49,1.1343,Medium,High
155050,Aisle,19.92,14.93,No,High,College students,Clothing,Yes,2321,4.99,1.3342,Medium,High
194410,End-cap,36.2,32.49,No,Low,Young adults,Electronics,No,669,3.71,1.1142,High,Low
141904,End-cap,27.36,23.03,Yes,Medium,College students,Food,Yes,1712,4.33,1.188,Medium,Medium
124981,Front of Store,42.74,40.29,No,Low,Families,Clothing,Yes,1832,2.45,1.0608,High,Medium
161909,Aisle,22.16,20.85,Yes,Medium,Young adults,Electronics,No,1290,1.31,1.0628,Medium,Medium
129152,End-cap,48.51,47.56,No,Low,Seniors,Electronics,No,2356,0.95,1.02,High,High
183243,Front of Store,39.32,37.12,Yes,Low,Families,Food,No,1524,2.2,1.0593,High,Medium
198248,Front of Store,27.81,23.4,Yes,High,Seniors,Clothing,No,1644,4.41,1.1885,Medium,Medium
